internet_timestamp,event_type,midi_note,note_name,velocity,duration_seconds,timing_seconds
2026-04-15T17:49:03.834850Z,note_on,62,D4,65,0.160046,1.662167
2026-04-15T17:49:03.994896Z,note_off,62,D4,0,,1.822213
2026-04-15T17:49:04.318696Z,note_on,62,D4,86,0.146467,2.146013
2026-04-15T17:49:04.465163Z,note_off,62,D4,0,,2.29248
2026-04-15T17:49:04.779670Z,note_on,62,D4,85,0.151001,2.606987
2026-04-15T17:49:04.784708Z,note_on,60,C4,85,0.146882,2.612025
2026-04-15T17:49:04.930671Z,note_off,62,D4,0,,2.757988
2026-04-15T17:49:04.931590Z,note_off,60,C4,0,,2.758907
2026-04-15T17:49:04.984291Z,note_on,60,C4,81,0.430677,2.811608
2026-04-15T17:49:05.296171Z,note_on,64,E4,62,0.075302,3.123488
2026-04-15T17:49:05.309233Z,note_on,65,F4,51,0.047077,3.13655
2026-04-15T17:49:05.356310Z,note_off,65,F4,0,,3.183627
2026-04-15T17:49:05.371472Z,note_off,64,E4,0,,3.198789
2026-04-15T17:49:05.414968Z,note_off,60,C4,0,,3.242285
2026-04-15T17:49:08.199265Z,note_on,53,F3,56,0.293867,6.026582
2026-04-15T17:49:08.455620Z,note_on,55,G3,73,0.361639,6.282937
2026-04-15T17:49:08.493131Z,note_off,53,F3,0,,6.320448
2026-04-15T17:49:08.776793Z,note_on,57,A3,38,0.152438,6.60411
2026-04-15T17:49:08.817259Z,note_off,55,G3,0,,6.644576
2026-04-15T17:49:08.929231Z,note_off,57,A3,0,,6.756548
