internet_timestamp,event_type,midi_note,note_name,velocity,duration_seconds,timing_seconds
2026-04-15T17:52:54.248894Z,note_on,59,B3,55,0.376567,1.968174
2026-04-15T17:52:54.489656Z,note_on,60,C4,81,0.750964,2.208936
2026-04-15T17:52:54.625461Z,note_off,59,B3,0,,2.344741
2026-04-15T17:52:54.742947Z,note_on,62,D4,72,0.38349,2.462227
2026-04-15T17:52:54.991658Z,note_on,59,B3,57,0.849269,2.710938
2026-04-15T17:52:55.126437Z,note_off,62,D4,0,,2.845717
2026-04-15T17:52:55.240621Z,note_off,60,C4,0,,2.959901
2026-04-15T17:52:55.840926Z,note_off,59,B3,0,,3.560206
